Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
,,,,
The effect of physiological concentrations of caffeine on the power output of maximally and submaximally stimulated mouse EDL (fast) and soleus (slow) muscle,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-physiological-concentrations-of-caffeine-on-the-pow-2,01-Jan-12,"['Tallis, J.', 'James, R. S.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
The 'lived experience' of elite 'home-grown' footballers in a Premier League Academy: A descriptive phenomenological exploration,https://pureportal.coventry.ac.uk/en/publications/the-lived-experience-of-elite-home-grown-footballers-in-a-premier,2012,"[""O'Halloran, L.""]",['https://pureportal.coventry.ac.uk/en/persons/lisa-ohalloran']
,,,,
The nuclear factor kappa B signaling pathway: integrating metabolism with inflammation,https://pureportal.coventry.ac.uk/en/publications/the-nuclear-factor-kappa-b-signaling-pathway-integrating-metaboli,01-Nov-12,[],[]
,,,,
The Population Pharmacokinetics of R and S-Warfarin: Effect of Genetic and Clinical Factors,https://pureportal.coventry.ac.uk/en/publications/the-population-pharmacokinetics-of-r-and-s-warfarin-effect-of-gen-2,Jan-12,[],[]
,,,,
Birt Hogg-Dubé syndrome-associated FLCN mutations disrupt protein stability,https://pureportal.coventry.ac.uk/en/publications/birt-hogg-dub%C3%A9-syndrome-associated-flcn-mutations-disrupt-protein,Aug-11,"['Reiman, A.']",['https://pureportal.coventry.ac.uk/en/persons/anne-reiman']
,,,,
Chlamydia psittaci infection in canaries heavily infested by Dermanyssus gallinae,https://pureportal.coventry.ac.uk/en/publications/chlamydia-psittaci-infection-in-canaries-heavily-infested-by-derm,01-Jan-11,[],[]
,,,,
"Daily torpor reduces mass and changes stress and power output of soleus and EDL muscles in the Djungarian hamster, Phodopus sungorus.",https://pureportal.coventry.ac.uk/en/publications/daily-torpor-reduces-mass-and-changes-stress-and-power-output-of--2,01-Sep-11,"['James, R. S.', 'Tallis, J. A.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
Dermanyssus gallinae in layer farms in Kosovo: A high risk for salmonella prevalence,https://pureportal.coventry.ac.uk/en/publications/dermanyssus-gallinae-in-layer-farms-in-kosovo-a-high-risk-for-sal,15-Jul-11,[],[]
,,,,
Determining non-invasiveness in ornamental plants to build green lists,https://pureportal.coventry.ac.uk/en/publications/determining-non-invasiveness-in-ornamental-plants-to-build-green-,Dec-11,"['Dehnen-Schmutz, K.']",['https://pureportal.coventry.ac.uk/en/persons/katharina-dehnen-schmutz']
,,,,
Diabetes UK evidence-based nutrition guidelines for the prevention and management of diabetes,https://pureportal.coventry.ac.uk/en/publications/diabetes-uk-evidence-based-nutrition-guidelines-for-the-preventio,Nov-11,[],[]
,,,,
ELAV-Mediated 3′-End Processing of ewg Transcripts Is Evolutionarily Conserved Despite Sequence Degeneration of the ELAV-Binding Site,https://pureportal.coventry.ac.uk/en/publications/elav-mediated-3-end-processing-of-ewg-transcripts-is-evolutionari,29-Jul-11,[],[]
,,,,
EN2: A candidate antigen for the development of targeted therapies in ovarian cancer.,https://pureportal.coventry.ac.uk/en/publications/en2-a-candidate-antigen-for-the-development-of-targeted-therapies,20-May-11,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
Endoplasmic reticulum localization of DHHC palmitoyltransferases mediated by lysine-based sorting signals,https://pureportal.coventry.ac.uk/en/publications/endoplasmic-reticulum-localization-of-dhhc-palmitoyltransferases-,11-Nov-11,"['Greaves, J.']",['https://pureportal.coventry.ac.uk/en/persons/jennifer-greaves']
,,,,
Functional interplay of the Mre11 nuclease and Ku in the response to replication-associated DNA damage,https://pureportal.coventry.ac.uk/en/publications/functional-interplay-of-the-mre11-nuclease-and-ku-in-the-response,Nov-11,"['Foster, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-foster']
,,,,
Fundamental Movement Skill Mastery in British Primary School children: Differences due to gender and school year,https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skill-mastery-in-british-primary-school-chil-2,08-Sep-11,"['Oxford, S.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/sam-oxford', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Improvements in functional movement screen scores across 6 months of in-season strength and conditioning training in elite academy football players,https://pureportal.coventry.ac.uk/en/publications/improvements-in-functional-movement-screen-scores-across-6-months-2,2011,"['Noon, M.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Injuries in Sport among Children and Adolescents,https://pureportal.coventry.ac.uk/en/publications/injuries-in-sport-among-children-and-adolescents,2011,"['Leddington Wright, S.', 'King, A.']","['https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright', 'https://pureportal.coventry.ac.uk/en/persons/andrew-king']"
,,,,
Maintaining hamstrings to quadriceps ratio in elite academy soccer players through a strength and conditioning programme,https://pureportal.coventry.ac.uk/en/publications/maintaining-hamstrings-to-quadriceps-ratio-in-elite-academy-socce-2,2011,"['Noon, M.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Monocyte-derived macrophages matured under prolonged hypoxia transcriptionally up-regulate HIF-1α mRNA,https://pureportal.coventry.ac.uk/en/publications/monocyte-derived-macrophages-matured-under-prolonged-hypoxia-tran,Jul-11,"['Burke, B.']",['https://pureportal.coventry.ac.uk/en/persons/bernie-burke']
,,,,
Parasitism in egg production systems: The role of the red mite (Dermanyssus gallinae),https://pureportal.coventry.ac.uk/en/publications/parasitism-in-egg-production-systems-the-role-of-the-red-mite-der,01-Jan-11,[],[]
,,,,
"Physical activity levels during a 6-week, school-based, active videogaming intervention using the gamercize power stepper in British children",https://pureportal.coventry.ac.uk/en/publications/physical-activity-levels-during-a-6-week-school-based-active-vide-2,2011,"['Duncan, M. J.', 'Hankey, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jo-hankey']"
,,,,
Predominance of CD8 T cell infiltration coincides with reciprocal reduction in regulatory T cells following prostate cryotherapy,https://pureportal.coventry.ac.uk/en/publications/predominance-of-cd8-t-cell-infiltration-coincides-with-reciprocal,01-Apr-11,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
RAPD and microsatellite transferability studies in selected species of Prosopis (section Algarobia) with emphasis on Prosopis juliflora and P. pallida,https://pureportal.coventry.ac.uk/en/publications/rapd-and-microsatellite-transferability-studies-in-selected-speci-2,28-Aug-11,"['Trenchard, L.']",['https://pureportal.coventry.ac.uk/en/persons/liz-trenchard']
,,,,
Therapeutic targeting the loss of the birt-hogg-dube suppressor gene,https://pureportal.coventry.ac.uk/en/publications/therapeutic-targeting-the-loss-of-the-birt-hogg-dube-suppressor-g,Jan-11,"['Reiman, A.']",['https://pureportal.coventry.ac.uk/en/persons/anne-reiman']
,,,,
Use of macrophages to target therapeutic adenovirus to human prostate tumors,https://pureportal.coventry.ac.uk/en/publications/use-of-macrophages-to-target-therapeutic-adenovirus-to-human-pros,01-Mar-11,"['Burke, B.']",['https://pureportal.coventry.ac.uk/en/persons/bernie-burke']
,,,,
Utility of accelerometers to measure physical activity in children attending an obesity treatment intervention,https://pureportal.coventry.ac.uk/en/publications/utility-of-accelerometers-to-measure-physical-activity-in-childre,2011,"['Horton, E.']",['https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton']
,,,,
Why dermanyssosis should be listed as an occupational hazard,https://pureportal.coventry.ac.uk/en/publications/why-dermanyssosis-should-be-listed-as-an-occupational-hazard,01-Aug-11,[],[]
,,,,
A functional variant within the MMP3 gene does not associate with human range of motion,https://pureportal.coventry.ac.uk/en/publications/a-functional-variant-within-the-mmp3-gene-does-not-associate-with,Nov-10,"['Raleigh, S. M.']",['https://pureportal.coventry.ac.uk/en/persons/stuart-raleigh']
,,,,
"An evaluation of a 5-week, school-based, exergaming intervention using the Gamercize power stepper on body mass index and physical activity during school lunch breaks in British primary school children",https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-a-5-week-school-based-exergaming-intervention-us-2,2010,"['Duncan, M. J.', 'Hankey, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jo-hankey']"
,,,,
Characterisation of hollow Russian doll microspheres,https://pureportal.coventry.ac.uk/en/publications/characterisation-of-hollow-russian-doll-microspheres,Jul-10,[],[]
,,,,
Claudin association with CD81 defines hepatitis C virus entry,https://pureportal.coventry.ac.uk/en/publications/claudin-association-with-cd81-defines-hepatitis-c-virus-entry-2,2010,[],[]
,,,,
Comparisons between peak power prediction equations in adolescent female basketballers,https://pureportal.coventry.ac.uk/en/publications/comparisons-between-peak-power-prediction-equations-in-adolescent-2,2010,"['Duncan, M. J.', 'Hankey, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jo-hankey']"
,,,,
Components of the transforming growth factor-beta family and the pathogenesis of human Achilles tendon pathology--a genetic association study,https://pureportal.coventry.ac.uk/en/publications/components-of-the-transforming-growth-factor-beta-family-and-the-,Nov-10,"['Raleigh, S. M.']",['https://pureportal.coventry.ac.uk/en/persons/stuart-raleigh']
,,,,
Concurrent Validity of the Backwards Overhead Medicine Ball Throw as a Test of Explosive Power in Adolescents,https://pureportal.coventry.ac.uk/en/publications/concurrent-validity-of-the-backwards-overhead-medicine-ball-throw-4,Sep-10,"['Duncan, M. J.', 'Hankey, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jo-hankey']"
,,,,
Differential activity of EWG transcription factor isoforms identifies a subset of differentially regulated genes important for synaptic growth regulation.,https://pureportal.coventry.ac.uk/en/publications/differential-activity-of-ewg-transcription-factor-isoforms-identi,18-Sep-10,[],[]
,,,,
EN2: A Novel Immunotherapeutic Target for Melanoma,https://pureportal.coventry.ac.uk/en/publications/en2-a-novel-immunotherapeutic-target-for-melanoma,2010,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
Functional analyses of differentially expressed isoforms,https://pureportal.coventry.ac.uk/en/publications/functional-analyses-of-differentially-expressed-isoforms,23-Mar-10,[],[]
,,,,
"Genotypic characterization of Brochothrix spp. isolated from meat, poultry and fish",https://pureportal.coventry.ac.uk/en/publications/genotypic-characterization-of-brochothrix-spp-isolated-from-meat-,2010,"['Xu, Y.']",['https://pureportal.coventry.ac.uk/en/persons/yizhi-xu']
,,,,
Hepatitis C virus infection reduces hepatocellular polarity in a vascular endothelial growth factor–dependent manner,https://pureportal.coventry.ac.uk/en/publications/hepatitis-c-virus-infection-reduces-hepatocellular-polarity-in-a--2,Mar-10,[],[]
,,,,
"Histone deacetylase inhibitor induces DNA damage, which normal but not transformed cells can repair",https://pureportal.coventry.ac.uk/en/publications/histone-deacetylase-inhibitor-induces-dna-damage-which-normal-but,17-Aug-10,"['Foster, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-foster']
,,,,
Impact of Olympic lifting programme on performance tests in elite football academy players,https://pureportal.coventry.ac.uk/en/publications/impact-of-olympic-lifting-programme-on-performance-tests-in-elite-2,2010,"['Noon, M.', 'Oxford, S.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Inhibition of hepatitis C virus infection by anti-claudin-1 antibodies is mediated by neutralization of E2–CD81–Claudin-1 associations,https://pureportal.coventry.ac.uk/en/publications/inhibition-of-hepatitis-c-virus-infection-by-anti-claudin-1-antib-2,2010,[],[]
,,,,
Monoclonal anti-claudin 1 antibodies prevent hepatitis C virus infection of primary human hepatocytes,https://pureportal.coventry.ac.uk/en/publications/monoclonal-anti-claudin-1-antibodies-prevent-hepatitis-c-virus-in-2,2010,[],[]
,,,,
Muscle contractile characteristics: relationship to high-intensity exercise.,https://pureportal.coventry.ac.uk/en/publications/muscle-contractile-characteristics-relationship-to-high-intensity,2010,[],[]
,,,,
Obesity and gestational diabetes,https://pureportal.coventry.ac.uk/en/publications/obesity-and-gestational-diabetes,Apr-10,[],[]
,,,,
PARADOXICAL POST-EXERCISE RESPONSES OF ACYLATED GHRELIN AND LEPTIN DURING A SIMULATED NIGHT SHIFT,https://pureportal.coventry.ac.uk/en/publications/paradoxical-post-exercise-responses-of-acylated-ghrelin-and-lepti-2,May-10,"['Clarke, N.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
"SG2285, a novel C2-aryl-substituted pyrrolobenzodiazepine dimer prodrug that cross links DNA and exerts highly potent antitumor activity.",https://pureportal.coventry.ac.uk/en/publications/sg2285-a-novel-c2-aryl-substituted-pyrrolobenzodiazepine-dimer-pr,Sep-10,"['Lin, T. T.']",['https://pureportal.coventry.ac.uk/en/persons/thet-thet-lin']
,,,,
The effect of chewing gum on stress and mood in response to the trier social stress task,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-chewing-gum-on-stress-and-mood-in-response-to-the-t-3,20-Sep-10,[],[]
,,,,
The intracellular dynamic of protein palmitoylation,https://pureportal.coventry.ac.uk/en/publications/the-intracellular-dynamic-of-protein-palmitoylation,27-Dec-10,"['Greaves, J.']",['https://pureportal.coventry.ac.uk/en/persons/jennifer-greaves']
,,,,
The need for continued monitoring of antibiotic resistance patterns in clinical isolates of Staphylococcus aureus from London and Malta,https://pureportal.coventry.ac.uk/en/publications/the-need-for-continued-monitoring-of-antibiotic-resistance-patter-2,21-Jul-10,"['Rollason, J.']",['https://pureportal.coventry.ac.uk/en/persons/jess-rollason']
,,,,
The relationship between bodymass index and balance in 7-16 year old boys,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-bodymass-index-and-balance-in-7-16-year--2,2010,"['Duncan, M. J.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
The Use of Bioelectrical Impedance Analysis (BIA) in Assessing Hydration Status of Runners Competing in a Multi-Stage Ultra-Marathon Conducted in a Hot Ambient Environment,https://pureportal.coventry.ac.uk/en/publications/the-use-of-bioelectrical-impedance-analysis-bia-in-assessing-hydr-2,2010,"['Lee, B.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/ben-lee', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
C3a Mediates Epithelial-to-Mesenchymal Transition in Proteinuric Nephropathy,https://pureportal.coventry.ac.uk/en/publications/c3a-mediates-epithelial-to-mesenchymal-transition-in-proteinuric--2,Mar-09,[],[]
,,,,
Effects of a 6-week circuit training intervention on body esteem and body mass index in British primary school children,https://pureportal.coventry.ac.uk/en/publications/effects-of-a-6-week-circuit-training-intervention-on-body-esteem--2,Jun-09,"['Duncan, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
Genetic risk factors for musculoskeletal soft tissue injuries,https://pureportal.coventry.ac.uk/en/publications/genetic-risk-factors-for-musculoskeletal-soft-tissue-injuries,2009,"['Raleigh, S. M.']",['https://pureportal.coventry.ac.uk/en/persons/stuart-raleigh']
,,,,
Hepatoma cell density promotes Claudin-1 and scavenger receptor BI expression and hepatitis C virus internalization,https://pureportal.coventry.ac.uk/en/publications/hepatoma-cell-density-promotes-claudin-1-and-scavenger-receptor-b-2,2009,[],[]
,,,,
Inhibition of the aquaporin 3 water channel increases the sensitivity of prostate cancer cells to cryotherapy,https://pureportal.coventry.ac.uk/en/publications/inhibition-of-the-aquaporin-3-water-channel-increases-the-sensiti,16-Jun-09,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
Maintenance of the DNA-damage checkpoint requires DNA-damage-induced mediator protein oligomerization,https://pureportal.coventry.ac.uk/en/publications/maintenance-of-the-dna-damage-checkpoint-requires-dna-damage-indu,30-Jan-09,"['Foster, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-foster']
,,,,
Modeling ATM mutant proteins from missense changes confirms retained kinase activity,https://pureportal.coventry.ac.uk/en/publications/modeling-atm-mutant-proteins-from-missense-changes-confirms-retai,Aug-09,"['Reiman, A.']",['https://pureportal.coventry.ac.uk/en/persons/anne-reiman']
,,,,
Palmitoylation of the synaptic vesicle fusion machinery,https://pureportal.coventry.ac.uk/en/publications/palmitoylation-of-the-synaptic-vesicle-fusion-machinery,21-Jul-09,"['Greaves, J.']",['https://pureportal.coventry.ac.uk/en/persons/jennifer-greaves']
,,,,
Placebo effects of caffeine on short-term resistance exercise to failure,https://pureportal.coventry.ac.uk/en/publications/placebo-effects-of-caffeine-on-short-term-resistance-exercise-to--2,2009,"['Duncan, M. J.', 'Hankey, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jo-hankey']"
,,,,
Polarization restricts Hepatitis C virus entry into HepG2 hepatoma cells,https://pureportal.coventry.ac.uk/en/publications/polarization-restricts-hepatitis-c-virus-entry-into-hepg2-hepatom-2,Jun-09,[],[]
,,,,
"Pulmonary rehabilitation using the SPACE (A Self-management Programme of Activity, Coping and Education) manual at home: A randomised controlled trial",https://pureportal.coventry.ac.uk/en/publications/pulmonary-rehabilitation-using-the-space-a-self-management-progra,01-Dec-09,"['Horton, E.', 'Sewell, L.']","['https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/louise-sewall']"
,,,,
The twin-arginine translocation (Tat) systems from Bacillus subtilis display a conserved mode of complex organization and similar substrate recognition requirements,https://pureportal.coventry.ac.uk/en/publications/the-twin-arginine-translocation-tat-systems-from-bacillus-subtili,Jan-09,"['Mendel, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
A3 adenosine receptors protects the myocardium via recruitment of PI3K-AKT-INOS cell survival pathway,https://pureportal.coventry.ac.uk/en/publications/a3-adenosine-receptors-protects-the-myocardium-via-recruitment-of-2,Apr-08,"['Maddock, H. L.']",['https://pureportal.coventry.ac.uk/en/persons/helen-maddock']
,,,,
A magneto-optic route toward the in vivo diagnosis of malaria: preliminary results and preclinical trial data,https://pureportal.coventry.ac.uk/en/publications/a-magneto-optic-route-toward-the-in-vivo-diagnosis-of-malaria-pre-2,Jul-08,[],[]
,,,,
Application of a pharmacogenetic-based warfarin dosing algorithm derived from British patients to predict dose in Swedish patients,https://pureportal.coventry.ac.uk/en/publications/application-of-a-pharmacogenetic-based-warfarin-dosing-algorithm--2,14-Apr-08,[],[]
,,,,
Caspase inhibitors induce PI3 kinase mediated myocardial protection during early reperfusion,https://pureportal.coventry.ac.uk/en/publications/caspase-inhibitors-induce-pi3-kinase-mediated-myocardial-protecti-2,Apr-08,"['James, R. S.', 'Maddock, H. L.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/helen-maddock']"
,,,,
CD81 and Claudin 1 coreceptor association: role in Hepatitis C virus entry,https://pureportal.coventry.ac.uk/en/publications/cd81-and-claudin-1-coreceptor-association-role-in-hepatitis-c-vir-2,May-08,[],[]
,,,,
"Children, video games and physical activity: an exploratory study",https://pureportal.coventry.ac.uk/en/publications/children-video-games-and-physical-activity-an-exploratory-study-2,2008,"['Duncan, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
Common variants in genes underlying monogenic hypertension and hypotension and blood pressure in the general population,https://pureportal.coventry.ac.uk/en/publications/common-variants-in-genes-underlying-monogenic-hypertension-and-hy,Jun-08,"['Raleigh, S. M.']",['https://pureportal.coventry.ac.uk/en/persons/stuart-raleigh']
,,,,
Effect of cell polarization on Hepatitis C virus entry,https://pureportal.coventry.ac.uk/en/publications/effect-of-cell-polarization-on-hepatitis-c-virus-entry-2,Jan-08,[],[]
,,,,
Epidemiology of community-acquired meticillin-resistant Staphylococcus aureus obtained from the UK West Midlands region,https://pureportal.coventry.ac.uk/en/publications/epidemiology-of-community-acquired-meticillin-resistant-staphyloc-2,Dec-08,"['Rollason, J.']",['https://pureportal.coventry.ac.uk/en/persons/jess-rollason']
,,,,
Fluid provision and metabolic responses to soccer-specific exercise,https://pureportal.coventry.ac.uk/en/publications/fluid-provision-and-metabolic-responses-to-soccer-specific-exerci-2,2008,"['Clarke, N.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Immunodeficiency in ataxia telangiectasia is correlated strongly with the presence of two null mutations in the ataxia telangiectasia mutated gene,https://pureportal.coventry.ac.uk/en/publications/immunodeficiency-in-ataxia-telangiectasia-is-correlated-strongly-,Aug-08,"['Reiman, A.']",['https://pureportal.coventry.ac.uk/en/persons/anne-reiman']
,,,,
Muscle Fatigue during Football Match-Play,https://pureportal.coventry.ac.uk/en/publications/muscle-fatigue-during-football-match-play-2,01-May-08,"['Clarke, N.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Palmitoylation gates phosphorylation-dependent regulation of BK potassium channels,https://pureportal.coventry.ac.uk/en/publications/palmitoylation-gates-phosphorylation-dependent-regulation-of-bk-p,30-Dec-08,"['Greaves, J.']",['https://pureportal.coventry.ac.uk/en/persons/jennifer-greaves']
,,,,
Pathogenic ATM mutations occur rarely in a subset of multiple myeloma patients,https://pureportal.coventry.ac.uk/en/publications/pathogenic-atm-mutations-occur-rarely-in-a-subset-of-multiple-mye,Sep-08,"['Reiman, A.']",['https://pureportal.coventry.ac.uk/en/persons/anne-reiman']
,,,,
Protein kinase A-dependent step(s) in hepatitis C virus entry and infectivity,https://pureportal.coventry.ac.uk/en/publications/protein-kinase-a-dependent-steps-in-hepatitis-c-virus-entry-and-i-2,2008,[],[]
,,,,
The Escherichia coli TatABC system and a Bacillus subtilis TatAC-type system recognise three distinct targeting determinants in twin-arginine signal peptides,https://pureportal.coventry.ac.uk/en/publications/the-escherichia-coli-tatabc-system-and-a-bacillus-subtilis-tatac-,18-Jan-08,"['Mendel, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
UK epidemic strains of meticillin-resistant Staphylococcus aureus in clinical samples from Malta,https://pureportal.coventry.ac.uk/en/publications/uk-epidemic-strains-of-meticillin-resistant-staphylococcus-aureus-2,Nov-08,"['Rollason, J.']",['https://pureportal.coventry.ac.uk/en/persons/jess-rollason']
,,,,
BASES Consensus Statement on Physical Activity and Prevention of Chronic Disease,https://pureportal.coventry.ac.uk/en/publications/bases-consensus-statement-on-physical-activity-and-prevention-of-,Jun-07,"['Horton, E.']",['https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton']
,,,,
Effects of Hand Cooling on Intermittent Exercise Performance in the Heat,https://pureportal.coventry.ac.uk/en/publications/effects-of-hand-cooling-on-intermittent-exercise-performance-in-t-2,2007,"['Price, M. J.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/mike-price', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Load carriage increases arterial haemoglobin oxygen saturation during inclined treadmill walking in hypoxia,https://pureportal.coventry.ac.uk/en/publications/load-carriage-increases-arterial-haemoglobin-oxygen-saturation-du-2,2007,"['Thake, D.', 'Price, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
Neutrophil activity and uphill walking in acute hypoxia equivalent to 3000 m,https://pureportal.coventry.ac.uk/en/publications/neutrophil-activity-and-uphill-walking-in-acute-hypoxia-equivalen-2,2007,"['Thake, D.', 'Price, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
Reducing uncompensable heat stress in a bomb disposal (EOD) suit: A laboratory based assessment.,https://pureportal.coventry.ac.uk/en/publications/reducing-uncompensable-heat-stress-in-a-bomb-disposal-eod-suit-a--2,2007,"['Thake, D.', 'Price, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
Targeting of Proteins by the Twin-Arginine Translocation System in Bacteria and Chloroplasts,https://pureportal.coventry.ac.uk/en/publications/targeting-of-proteins-by-the-twin-arginine-translocation-system-i,2007,"['Mendel, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
"Ultrasonic Effect on pH, Electric Conductivity, and Tissue Surface of Button Mushrooms, Brussels Sprouts and Cauliflower",https://pureportal.coventry.ac.uk/en/publications/ultrasonic-effect-on-ph-electric-conductivity-and-tissue-surface--2,2007,[],[]
,,,,
Ultrasound-mediated DNA transfer for bacteria,https://pureportal.coventry.ac.uk/en/publications/ultrasound-mediated-dna-transfer-for-bacteria-2,22-Sep-07,[],[]
,,,,
"Accelerated drying of button mushrooms, Brussels sprouts and cauliflower by applying power ultrasound and its rehydration properties",https://pureportal.coventry.ac.uk/en/publications/accelerated-drying-of-button-mushrooms-brussels-sprouts-and-cauli-2,28-Nov-06,[],[]
,,,,
Detecting repair intermediates in vivo: effects of DNA damage response genes on single-stranded DNA accumulation at uncapped telomeres in budding yeast,https://pureportal.coventry.ac.uk/en/publications/detecting-repair-intermediates-in-vivo-effects-of-dna-damage-resp,01-May-06,"['Foster, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-foster']
,,,,
Dissecting the components of the humoral immune response elicited by DNA vaccines,https://pureportal.coventry.ac.uk/en/publications/dissecting-the-components-of-the-humoral-immune-response-elicited,06-Feb-06,"['Burke, B.']",['https://pureportal.coventry.ac.uk/en/persons/bernie-burke']
,,,,
Interaction of the transmembrane domain of lysis protein E from bacteriophage phiX174 with bacterial translocase MraY and peptidyl-prolyl isomerase SlyD,https://pureportal.coventry.ac.uk/en/publications/interaction-of-the-transmembrane-domain-of-lysis-protein-e-from-b,Oct-06,"['Mendel, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
MRX protects telomeric DNA at uncapped telomeres of budding yeast cdc13-1 mutants,https://pureportal.coventry.ac.uk/en/publications/mrx-protects-telomeric-dna-at-uncapped-telomeres-of-budding-yeast,13-Jul-06,"['Foster, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-foster']
,,,,
Structure of the regulatory subunit of acetohydroxyacid synthase isozyme III from Escherichia coli,https://pureportal.coventry.ac.uk/en/publications/structure-of-the-regulatory-subunit-of-acetohydroxyacid-synthase-,31-Mar-06,"['Mendel, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
Association of WNK1 gene polymorphisms and haplotypes with ambulatory blood pressure in the general population,https://pureportal.coventry.ac.uk/en/publications/association-of-wnk1-gene-polymorphisms-and-haplotypes-with-ambula,29-Nov-05,"['Raleigh, S. M.']",['https://pureportal.coventry.ac.uk/en/persons/stuart-raleigh']
,,,,
Cancer risks and mortality in heterozygous ATM mutation carriers,https://pureportal.coventry.ac.uk/en/publications/cancer-risks-and-mortality-in-heterozygous-atm-mutation-carriers,01-Jun-05,"['Reiman, A.']",['https://pureportal.coventry.ac.uk/en/persons/anne-reiman']
,,,,
Graded exercise testing for uphill walking studies,https://pureportal.coventry.ac.uk/en/publications/graded-exercise-testing-for-uphill-walking-studies-2,2005,"['Thake, C. D.', 'Price, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
