Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
The Relationship between Training Load Measures and Next-Day Well-Being in Rugby Union Players,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-training-load-measures-and-next-day-well,25-Jun-21,[],[]
,,,,
The transitioning feature between uncooked and cooked cowpea seeds studied by the mechanical compression test,https://pureportal.coventry.ac.uk/en/publications/the-transitioning-feature-between-uncooked-and-cooked-cowpea-seed,Mar-21,"['Munialo, C. D.']",['https://pureportal.coventry.ac.uk/en/persons/claire-munialo']
,,,,
Understanding a Player’s Decision-Making Process in Team Sports: A Systematic Review of Empirical Evidence,https://pureportal.coventry.ac.uk/en/publications/understanding-a-players-decision-making-process-in-team-sports-a-,17-May-21,"['Ashford, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-ashford']
,,,,
"What Cognitive Mechanism, When, Where, and Why? Exploring the Decision Making of University and Professional Rugby Union Players During Competitive Matches",https://pureportal.coventry.ac.uk/en/publications/what-cognitive-mechanism-when-where-and-why-exploring-the-decisio,12-May-21,"['Ashford, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-ashford']
,,,,
"A feedforward approach to teaching, learning and assessment in an undergraduate sports science module",https://pureportal.coventry.ac.uk/en/publications/a-feedforward-approach-to-teaching-learning-and-assessment-in-an-,Nov-20,"['Noon, M.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Affective responses to supervised 10-week programs of resistance exercise in older adults,https://pureportal.coventry.ac.uk/en/publications/affective-responses-to-supervised-10-week-programs-of-resistance-,Dec-20,"['Duncan, M.', 'Jimenez, A.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
"Age-related changes in isolated mouse skeletal muscle function are dependent on sex, muscle, and contractility mode",https://pureportal.coventry.ac.uk/en/publications/age-related-changes-in-isolated-mouse-skeletal-muscle-function-ar,01-Sep-20,"['James, R.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
Age-related degeneration of the lumbar paravertebral muscles: Systematic review and three-level meta-regression,https://pureportal.coventry.ac.uk/en/publications/age-related-degeneration-of-the-lumbar-paravertebral-muscles-syst,May-20,"['Duncan, M.', 'Tallis, J.', 'Renshaw, D.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/derek-renshaw']"
,,,,
"A national survey exploring the influence of UK-based post-graduate education on the past, present and future of musculoskeletal physiotherapy practice.",https://pureportal.coventry.ac.uk/en/publications/a-national-survey-exploring-the-influence-of-uk-based-post-gradua,13-Nov-20,[],[]
,,,,
Angle-Specific Isokinetic Metrics Highlight Strength Training Needs Of Elite Youth Soccer Players,https://pureportal.coventry.ac.uk/en/publications/angle-specific-isokinetic-metrics-highlight-strength-training-nee,01-Nov-20,"['Eustace, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-eustace']
,,,,
Are exercise referral schemes associated with an increase in physical activity? Observational findings using individual patient data meta-analysis from The National Referral database,https://pureportal.coventry.ac.uk/en/publications/are-exercise-referral-schemes-associated-with-an-increase-in-phys,Jun-20,"['Rowley, N.', 'Horton, E.', 'Jimenez, A.']","['https://pureportal.coventry.ac.uk/en/persons/nikita-rowley', 'https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez']"
,,,,
Assessing the validity and reliability and determining cut-points of the Actiwatch 2 in measuring physical activity,https://pureportal.coventry.ac.uk/en/publications/assessing-the-validity-and-reliability-and-determining-cut-points,01-Sep-20,"['Roden, L. C.']",['https://pureportal.coventry.ac.uk/en/persons/laura-roden']
,,,,
Associations between self-reported sleep duration and cardiometabolic risk factors in young African-origin adults from the five-country Modeling the Epidemiologic Transition Study (METS),https://pureportal.coventry.ac.uk/en/publications/associations-between-self-reported-sleep-duration-and-cardiometab,Aug-20,"['Roden, L.']",['https://pureportal.coventry.ac.uk/en/persons/laura-roden']
,,,,
Calibration and Cross-Validation of Accelerometery for Estimating Movement Skills in Children Aged 8-12 Years,https://pureportal.coventry.ac.uk/en/publications/calibration-and-cross-validation-of-accelerometery-for-estimating,13-May-20,"['Duncan, M. J.', 'Noon, M.', 'Clark, C. C. T.', 'Eyre, E. L. J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/cain-clark', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Circadian oscillations persist in cervical and esophageal cancer cells displaying decreased expression of tumor-suppressing circadian clock genes,https://pureportal.coventry.ac.uk/en/publications/circadian-oscillations-persist-in-cervical-and-esophageal-cancer-,01-Sep-20,"['Roden, L.']",['https://pureportal.coventry.ac.uk/en/persons/laura-roden']
,,,,
Cocaine by-product detection with metal oxide semiconductor sensor arrays,https://pureportal.coventry.ac.uk/en/publications/cocaine-by-product-detection-with-metal-oxide-semiconductor-senso,2020,"['Tarttelin Hernandez, P.']",['https://pureportal.coventry.ac.uk/en/persons/paula-tarttelin-hernandez']
,,,,
Contemporary practices of strength and conditioning coaches in professional soccer,https://pureportal.coventry.ac.uk/en/publications/contemporary-practices-of-strength-and-conditioning-coaches-in-pr,24-Oct-20,"['Duncan, M.', 'Noon, M.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/mark-noon']"
,,,,
Cross validation of Actigraph derived accelerometer cut-points for assessment of sedentary behaviour and physical activity in children aged 8-11 years,https://pureportal.coventry.ac.uk/en/publications/cross-validation-of-actigraph-derived-accelerometer-cut-points-fo,01-Sep-20,"['Duncan, M.', 'Eyre, E.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
CT-based finite element analysis modelling of the effect of trochanteric soft tissue thickness on osteoporotic proximal femur fractures during sideways fall loading configuration.,https://pureportal.coventry.ac.uk/en/publications/ct-based-finite-element-analysis-modelling-of-the-effect-of-troch,2020,"['Stamou, A.', 'Razmkhah, O.', 'Stamou, A.', 'Bokaee, S.']","['https://pureportal.coventry.ac.uk/en/persons/katerina-stamou', 'https://pureportal.coventry.ac.uk/en/persons/omid-razmkhah', 'https://pureportal.coventry.ac.uk/en/persons/katerina-stamou', 'https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']"
,,,,
Detection of humic acid in water using flat-sheet and folded-rod viscous alkaline glucose syrups,https://pureportal.coventry.ac.uk/en/publications/detection-of-humic-acid-in-water-using-flat-sheet-and-folded-rod-,07-Apr-20,"['Williams, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
Developing open technology solutions in a simulated living lab environment: research in progress amidst the Covid-19 pandemic,https://pureportal.coventry.ac.uk/en/publications/developing-open-technology-solutions-in-a-simulated-living-lab-en,15-Sep-20,"['Clark, C.', 'Wood, E.', 'Holliday, N.']","['https://pureportal.coventry.ac.uk/en/persons/cain-clark', 'https://pureportal.coventry.ac.uk/en/persons/esm%C3%A9-wood', 'https://pureportal.coventry.ac.uk/en/persons/nikki-holliday']"
,,,,
"Developing Powerful Athletes, Part 1",https://pureportal.coventry.ac.uk/en/publications/developing-powerful-athletes-part-1,Jun-20,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
